CY Base,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,PY Base,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,YoY Change,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33
UID,Transit,Sophistication,Weight,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,,UID,Transit,Sophistication,Weight,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
Expedited1&1,Expedited,1,1,3.79,3.84,3.86,3.96,4.02,4.11,4.19,4.36,,Expedited1&1,Expedited,1,1,3.59,3.64,3.66,3.75,3.81,3.9,3.97,4.13,,0.055710306406685284,0.05494505494505497,0.05464480874316924,0.05600000000000005,0.055118110236220375,0.05384615384615388,0.055415617128463435,0.05569007263922532
Expedited1&2,Expedited,1,2,3.79,3.84,3.86,3.96,4.02,4.11,4.19,4.36,,Expedited1&2,Expedited,1,2,3.59,3.64,3.66,3.75,3.81,3.9,3.97,4.13,,0.055710306406685284,0.05494505494505497,0.05464480874316924,0.05600000000000005,0.055118110236220375,0.05384615384615388,0.055415617128463435,0.05569007263922532
Expedited1&3,Expedited,1,3,3.79,3.84,3.86,3.96,4.02,4.11,4.19,4.36,,Expedited1&3,Expedited,1,3,3.59,3.64,3.66,3.75,3.81,3.9,3.97,4.13,,0.055710306406685284,0.05494505494505497,0.05464480874316924,0.05600000000000005,0.055118110236220375,0.05384615384615388,0.055415617128463435,0.05569007263922532
Expedited1&4,Expedited,1,4,3.79,3.84,3.86,3.96,4.02,4.11,4.19,4.36,,Expedited1&4,Expedited,1,4,3.59,3.64,3.66,3.75,3.81,3.9,3.97,4.13,,0.055710306406685284,0.05494505494505497,0.05464480874316924,0.05600000000000005,0.055118110236220375,0.05384615384615388,0.055415617128463435,0.05569007263922532
Expedited1&5,Expedited,1,5,4.21,4.28,4.31,4.38,4.43,4.47,4.55,4.68,,Expedited1&5,Expedited,1,5,3.99,4.06,4.09,4.15,4.2,4.24,4.31,4.44,,0.05513784461152871,0.05418719211822687,0.05378973105134466,0.055421686746987886,0.05476190476190457,0.054245283018867774,0.05568445475638062,0.054054054054053946
Expedited1&6,Expedited,1,6,4.21,4.28,4.31,4.38,4.43,4.47,4.55,4.68,,Expedited1&6,Expedited,1,6,3.99,4.06,4.09,4.15,4.2,4.24,4.31,4.44,,0.05513784461152871,0.05418719211822687,0.05378973105134466,0.055421686746987886,0.05476190476190457,0.054245283018867774,0.05568445475638062,0.054054054054053946
Expedited1&7,Expedited,1,7,4.21,4.28,4.31,4.38,4.43,4.47,4.55,4.68,,Expedited1&7,Expedited,1,7,3.99,4.06,4.09,4.15,4.2,4.24,4.31,4.44,,0.05513784461152871,0.05418719211822687,0.05378973105134466,0.055421686746987886,0.05476190476190457,0.054245283018867774,0.05568445475638062,0.054054054054053946
Expedited1&8,Expedited,1,8,4.21,4.28,4.31,4.38,4.43,4.47,4.55,4.68,,Expedited1&8,Expedited,1,8,3.99,4.06,4.09,4.15,4.2,4.24,4.31,4.44,,0.05513784461152871,0.05418719211822687,0.05378973105134466,0.055421686746987886,0.05476190476190457,0.054245283018867774,0.05568445475638062,0.054054054054053946
Expedited1&9,Expedited,1,9,4.87,4.95,5.0,5.07,5.15,5.32,5.45,5.62,,Expedited1&9,Expedited,1,9,4.62,4.69,4.74,4.81,4.88,5.04,5.17,5.33,,0.054112554112554,0.05543710021321946,0.05485232067510548,0.05405405405405417,0.05532786885245922,0.05555555555555558,0.05415860735009681,0.054409005628517804
Expedited1&10,Expedited,1,10,4.87,4.95,5.0,5.07,5.15,5.32,5.45,5.62,,Expedited1&10,Expedited,1,10,4.62,4.69,4.74,4.81,4.88,5.04,5.17,5.33,,0.054112554112554,0.05543710021321946,0.05485232067510548,0.05405405405405417,0.05532786885245922,0.05555555555555558,0.05415860735009681,0.054409005628517804
Expedited1&11,Expedited,1,11,4.87,4.95,5.0,5.07,5.15,5.32,5.45,5.62,,Expedited1&11,Expedited,1,11,4.62,4.69,4.74,4.81,4.88,5.04,5.17,5.33,,0.054112554112554,0.05543710021321946,0.05485232067510548,0.05405405405405417,0.05532786885245922,0.05555555555555558,0.05415860735009681,0.054409005628517804
Expedited1&12,Expedited,1,12,4.87,4.95,5.0,5.07,5.15,5.32,5.45,5.62,,Expedited1&12,Expedited,1,12,4.62,4.69,4.74,4.81,4.88,5.04,5.17,5.33,,0.054112554112554,0.05543710021321946,0.05485232067510548,0.05405405405405417,0.05532786885245922,0.05555555555555558,0.05415860735009681,0.054409005628517804
Expedited1&13,Expedited,1,13,6.17,6.26,6.33,6.4,6.56,6.79,6.96,7.15,,Expedited1&13,Expedited,1,13,5.85,5.93,6.0,6.07,6.22,6.44,6.6,6.78,,0.05470085470085473,0.05564924114671155,0.05499999999999994,0.054365733113673764,0.05466237942122176,0.05434782608695654,0.054545454545454675,0.054572271386430726
Expedited1&14,Expedited,1,14,6.17,6.26,6.33,6.4,6.56,6.79,6.96,7.15,,Expedited1&14,Expedited,1,14,5.85,5.93,6.0,6.07,6.22,6.44,6.6,6.78,,0.05470085470085473,0.05564924114671155,0.05499999999999994,0.054365733113673764,0.05466237942122176,0.05434782608695654,0.054545454545454675,0.054572271386430726
Expedited1&15,Expedited,1,15,6.17,6.26,6.33,6.4,6.56,6.79,6.96,7.15,,Expedited1&15,Expedited,1,15,5.85,5.93,6.0,6.07,6.22,6.44,6.6,6.78,,0.05470085470085473,0.05564924114671155,0.05499999999999994,0.054365733113673764,0.05466237942122176,0.05434782608695654,0.054545454545454675,0.054572271386430726
Expedited1&15.99,Expedited,1,15.99,6.17,6.26,6.33,6.4,6.56,6.79,6.96,7.15,,Expedited1&15.99,Expedited,1,15.99,5.85,5.93,6.0,6.07,6.22,6.44,6.6,6.78,,0.05470085470085473,0.05564924114671155,0.05499999999999994,0.054365733113673764,0.05466237942122176,0.05434782608695654,0.054545454545454675,0.054572271386430726
Expedited1&16,Expedited,1,16,6.83,6.91,6.99,7.13,7.49,8.42,8.63,8.91,,Expedited1&16,Expedited,1,16,6.47,6.55,6.63,6.76,7.1,7.98,8.18,8.45,,0.05564142194744992,0.05496183206106875,0.05429864253393668,0.054733727810651,0.05492957746478888,0.05513784461152871,0.055012224938875365,0.05443786982248522
Expedited1&32,Expedited,1,32,7.21,7.32,7.54,7.75,8.28,9.67,9.99,10.42,,Expedited1&32,Expedited,1,32,6.83,6.94,7.15,7.35,7.85,9.17,9.47,9.88,,0.05563689604685207,0.05475504322766578,0.05454545454545445,0.054421768707483054,0.054777070063694255,0.05452562704471098,0.05491024287222812,0.054655870445344146
Expedited1&48,Expedited,1,48,7.56,7.66,8.16,8.51,9.23,10.58,11.27,12.06,,Expedited1&48,Expedited,1,48,7.17,7.26,7.73,8.07,8.75,10.03,10.68,11.43,,0.05439330543933041,0.05509641873278248,0.05562742561448886,0.054522924411400275,0.05485714285714294,0.054835493519441725,0.055243445692883864,0.0551181102362206
Expedited1&64,Expedited,1,64,7.81,7.89,8.56,9.03,9.86,11.19,12.12,13.16,,Expedited1&64,Expedited,1,64,7.4,7.48,8.11,8.56,9.35,10.61,11.49,12.47,,0.055405405405405395,0.054812834224598816,0.05548705302096191,0.05490654205607459,0.05454545454545445,0.05466540999057501,0.05483028720626626,0.05533279871692054
Expedited1&80,Expedited,1,80,7.99,8.06,8.86,9.41,10.44,11.77,12.89,14.16,,Expedited1&80,Expedited,1,80,7.57,7.64,8.4,8.92,9.9,11.16,12.22,13.42,,0.05548216644649928,0.054973821989528826,0.05476190476190457,0.05493273542600896,0.05454545454545445,0.05465949820788518,0.05482815057283141,0.055141579731743606
Expedited1&96,Expedited,1,96,8.17,8.23,9.17,9.79,11.02,12.36,13.67,15.16,,Expedited1&96,Expedited,1,96,7.74,7.8,8.69,9.28,10.45,11.72,12.96,14.37,,0.05555555555555558,0.055128205128205154,0.05523590333716921,0.0549568965517242,0.054545454545454675,0.05460750853242313,0.054783950617283805,0.05497564370215735
Expedited1&112,Expedited,1,112,8.43,8.5,9.59,10.32,11.67,13.07,14.58,16.3,,Expedited1&112,Expedited,1,112,7.99,8.06,9.09,9.78,11.06,12.39,13.82,15.45,,0.05506883604505619,0.05459057071960283,0.05500550055005493,0.05521472392638049,0.05515370705244127,0.05488297013720733,0.05499276410998544,0.055016181229773586
Expedited1&128,Expedited,1,128,8.79,8.84,10.05,10.87,12.31,13.78,15.49,17.44,,Expedited1&128,Expedited,1,128,8.33,8.38,9.53,10.3,11.67,13.06,14.68,16.53,,0.055222088835534144,0.054892601431980825,0.054564533053515385,0.05533980582524256,0.054841473864610135,0.05513016845329233,0.05517711171662132,0.05505142165759236
Expedited1&144,Expedited,1,144,9.28,9.35,10.56,11.46,12.94,14.5,16.38,18.6,,Expedited1&144,Expedited,1,144,8.8,8.86,10.01,10.86,12.27,13.74,15.53,17.63,,0.05454545454545445,0.055304740406320496,0.05494505494505497,0.05524861878453047,0.0546047269763652,0.055312954876273634,0.054732775273663936,0.055019852524106794
Expedited1&160,Expedited,1,160,9.9,9.96,11.09,12.06,13.58,15.22,17.28,19.76,,Expedited1&160,Expedited,1,160,9.38,9.44,10.51,11.43,12.87,14.43,16.38,18.73,,0.05543710021321946,0.05508474576271194,0.05518553758325395,0.0551181102362206,0.055167055167055334,0.05474705474705477,0.05494505494505497,0.054991991457554734
