Product,Shipper,Shipper Code,State,Customer Hub,Induction Terminal,WEIGHT BREAK,LB,1,2,3,4,5,6,7,8,Fuel Surcharge,Handling,Line Haul,Insurance,Unnamed: 20,KeyWord,Product.1,Shipper.1,Shipper Code.1,Customer Hub.1,Induction Terminal ,Linehaul,WEIGHT BREAK.1,1.1,2.1,3.1,4.1,5.1,6.1,7.1,8.1,9,10,11,12,13,M
SM_Parcel_Expedited_Max,DHL,DHL-M,FL,MCO,MCO,1.0,OZ,3.503,3.503,3.553,3.633,3.693,3.773,3.823,3.973,0.0025,0.0,0.0,0.03,,DHL-MATL1,DHL_Max,DHL,DHL-M,ATL,ATL,,1.0,3.4699999999999998,3.4699999999999998,3.5199999999999996,3.5999999999999996,3.6599999999999997,3.7399999999999998,3.7899999999999996,3.94,,,,,,
SM_Parcel_Expedited_Max,DHL,DHL-M,FL,MCO,MCO,2.0,OZ,3.515,3.515,3.565,3.645,3.705,3.785,3.835,3.985,0.005,0.0,0.0,0.03,,DHL-MATL2,DHL_Max,DHL,DHL-M,ATL,ATL,,2.0,3.48,3.48,3.53,3.61,3.67,3.75,3.8,3.9499999999999997,,,,,,
SM_Parcel_Expedited_Max,DHL,DHL-M,FL,MCO,MCO,3.0,OZ,3.518,3.518,3.568,3.648,3.708,3.788,3.838,3.988,0.0075,0.0,0.0,0.03,,DHL-MATL3,DHL_Max,DHL,DHL-M,ATL,ATL,,3.0,3.48,3.48,3.53,3.61,3.67,3.75,3.8,3.9499999999999997,,,,,,
SM_Parcel_Expedited_Max,DHL,DHL-M,FL,MCO,MCO,4.0,OZ,3.52,3.52,3.57,3.65,3.71,3.79,3.84,3.99,0.01,0.0,0.0,0.03,,DHL-MATL4,DHL_Max,DHL,DHL-M,ATL,ATL,,4.0,3.48,3.48,3.53,3.61,3.67,3.75,3.8,3.9499999999999997,,,,,,
SM_Parcel_Expedited_Max,DHL,DHL-M,FL,MCO,MCO,5.0,OZ,3.903,3.903,3.973,4.033,4.073,4.113,4.173,4.283,0.0125,0.0,0.0,0.03,,DHL-MATL5,DHL_Max,DHL,DHL-M,ATL,ATL,,5.0,3.86,3.86,3.9299999999999997,3.9899999999999998,4.029999999999999,4.069999999999999,4.13,4.24,,,,,,
SM_Parcel_Expedited_Max,DHL,DHL-M,FL,MCO,MCO,6.0,OZ,3.905,3.905,3.975,4.035,4.075,4.115,4.175,4.285,0.015,0.0,0.0,0.03,,DHL-MATL6,DHL_Max,DHL,DHL-M,ATL,ATL,,6.0,3.86,3.86,3.9299999999999997,3.9899999999999998,4.029999999999999,4.069999999999999,4.13,4.24,,,,,,
SM_Parcel_Expedited_Max,DHL,DHL-M,FL,MCO,MCO,7.0,OZ,3.908,3.908,3.978,4.038,4.078,4.118,4.178,4.288,0.0175,0.0,0.0,0.03,,DHL-MATL7,DHL_Max,DHL,DHL-M,ATL,ATL,,7.0,3.86,3.86,3.9299999999999997,3.9899999999999998,4.029999999999999,4.069999999999999,4.13,4.24,,,,,,
SM_Parcel_Expedited_Max,DHL,DHL-M,FL,MCO,MCO,8.0,OZ,3.91,3.91,3.98,4.04,4.08,4.12,4.2,4.4,0.02,0.0,0.0,0.03,,DHL-MATL8,DHL_Max,DHL,DHL-M,ATL,ATL,,8.0,3.86,3.86,3.9299999999999997,3.9899999999999998,4.029999999999999,4.09,4.13,4.359999999999999,,,,,,
SM_Parcel_Expedited_Max,DHL,DHL-M,FL,MCO,MCO,9.0,OZ,4.493,4.493,4.573,4.643,4.703,4.843,4.953,5.103,0.0225,0.0,0.0,0.03,,DHL-MATL9,DHL_Max,DHL,DHL-M,ATL,ATL,,9.0,4.4399999999999995,4.4399999999999995,4.52,4.59,4.6499999999999995,4.79,4.8999999999999995,5.05,,,,,,
SM_Parcel_Expedited_Max,DHL,DHL-M,FL,MCO,MCO,10.0,OZ,4.505,4.505,4.585,4.655,4.715,4.855,4.965,5.115,0.025,0.0,0.0,0.03,,DHL-MATL10,DHL_Max,DHL,DHL-M,ATL,ATL,,10.0,4.45,4.45,4.529999999999999,4.6,4.66,4.8,4.91,5.06,,,,,,
SM_Parcel_Expedited_Max,DHL,DHL-M,FL,MCO,MCO,11.0,OZ,4.508,4.508,4.588,4.658,4.718,4.858,4.968,5.118,0.0275,0.0,0.0,0.03,,DHL-MATL11,DHL_Max,DHL,DHL-M,ATL,ATL,,11.0,4.45,4.45,4.529999999999999,4.6,4.66,4.8,4.91,5.06,,,,,,
SM_Parcel_Expedited_Max,DHL,DHL-M,FL,MCO,MCO,12.0,OZ,4.51,4.51,4.59,4.66,4.72,4.86,4.97,5.12,0.03,0.0,0.0,0.03,,DHL-MATL12,DHL_Max,DHL,DHL-M,ATL,ATL,,12.0,4.45,4.45,4.529999999999999,4.6,4.66,4.8,4.91,5.06,,,,,,
SM_Parcel_Expedited_Max,DHL,DHL-M,FL,MCO,MCO,13.0,OZ,5.663,5.663,5.793,5.853,5.963,6.153,6.303,6.463,0.0325,0.0,0.0,0.03,,DHL-MATL13,DHL_Max,DHL,DHL-M,ATL,ATL,,13.0,5.6,5.6,5.7299999999999995,5.79,5.91,6.1,6.24,6.3999999999999995,,,,,,
SM_Parcel_Expedited_Max,DHL,DHL-M,FL,MCO,MCO,14.0,OZ,5.665,5.665,5.795,5.855,5.965,6.155,6.305,6.465,0.035,0.0,0.0,0.03,,DHL-MATL14,DHL_Max,DHL,DHL-M,ATL,ATL,,14.0,5.6,5.6,5.7299999999999995,5.79,5.91,6.1,6.24,6.3999999999999995,,,,,,
SM_Parcel_Expedited_Max,DHL,DHL-M,FL,MCO,MCO,15.0,OZ,5.668,5.668,5.798,5.858,5.968,6.158,6.308,6.468,0.0375,0.0,0.0,0.03,,DHL-MATL15,DHL_Max,DHL,DHL-M,ATL,ATL,,15.0,5.6,5.6,5.7299999999999995,5.79,5.91,6.1,6.24,6.3999999999999995,,,,,,
SM_Parcel_Expedited_Max,DHL,DHL-M,FL,MCO,MCO,15.99,OZ,5.68,5.68,5.81,5.87,5.98,6.17,6.32,6.48,0.039975000000000004,0.0,0.0,0.03,,DHL-MATL15.99,DHL_Max,DHL,DHL-M,ATL,ATL,,15.99,5.609999999999999,5.609999999999999,5.739999999999999,5.8,5.92,6.109999999999999,6.25,6.409999999999999,,,,,,
SM_Parcel_Expedited_Max,DHL,DHL-M,FL,MCO,MCO,16.0,OZ,5.68,5.68,5.81,5.87,5.98,6.17,6.32,6.48,0.04,0.0,0.0,0.03,,DHL-MATL16,DHL_Max,DHL,DHL-M,ATL,ATL,,16.0,5.609999999999999,5.609999999999999,5.739999999999999,5.8,5.92,6.109999999999999,6.25,6.409999999999999,,,,,,
SM_Parcel_Expedited_Max,DHL,DHL-M,FL,MCO,MCO,32.0,OZ,5.98,5.98,6.05,6.89,8.62,9.75,9.81,9.81,0.08,0.0,0.0,0.12,,DHL-MATL32,DHL_Max,DHL,DHL-M,ATL,ATL,,32.0,6.13,6.13,6.3,6.63,7.069999999999999,8.65,9.25,9.36,,,,,,
SM_Parcel_Expedited_Max,DHL,DHL-M,FL,MCO,MCO,48.0,OZ,6.33,6.33,6.5,7.82,9.95,12.07,12.22,12.22,0.12,0.0,0.0,0.12,,DHL-MATL48,DHL_Max,DHL,DHL-M,ATL,ATL,,48.0,6.74,6.74,7.069999999999999,7.63,8.26,10.47,11.66,11.85,,,,,,
SM_Parcel_Expedited_Max,DHL,DHL-M,FL,MCO,MCO,64.0,OZ,6.78,6.78,6.99,8.58,11.75,14.22,14.45,14.45,0.16,0.0,0.0,0.12,,DHL-MATL64,DHL_Max,DHL,DHL-M,ATL,ATL,,64.0,7.17,7.17,7.67,8.44,9.27,12.12,13.9,14.16,,,,,,
SM_Parcel_Expedited_Max,DHL,DHL-M,FL,MCO,MCO,80.0,OZ,7.32,7.32,7.58,9.42,13.58,16.46,16.77,16.79,0.2,0.0,0.0,0.12,,DHL-MATL80,DHL_Max,DHL,DHL-M,ATL,ATL,,80.0,7.6899999999999995,7.6899999999999995,8.36,9.35,10.379999999999999,13.84,16.240000000000002,16.560000000000002,,,,,,
SM_Parcel_Expedited_Max,DHL,DHL-M,FL,MCO,MCO,96.0,OZ,7.96,7.96,8.25,10.37,15.58,18.0,19.18,19.31,0.24,0.0,0.0,0.12,,DHL-MATL96,DHL_Max,DHL,DHL-M,ATL,ATL,,96.0,8.31,8.31,9.129999999999999,10.16,11.57,15.65,18.67,19.05,,,,,,
SM_Parcel_Expedited_Max,DHL,DHL-M,FL,MCO,MCO,112.0,OZ,8.61,8.61,8.95,11.34,18.2,21.14,21.62,21.84,0.28,0.0,0.0,0.12,,DHL-MATL112,DHL_Max,DHL,DHL-M,ATL,ATL,,112.0,8.94,8.94,9.94,11.39,12.799999999999999,17.51,21.110000000000003,21.57,,,,,,
SM_Parcel_Expedited_Max,DHL,DHL-M,FL,MCO,MCO,128.0,OZ,9.18,9.18,9.56,12.21,20.11,23.4,23.96,24.3,0.32,0.0,0.0,0.12,,DHL-MATL128,DHL_Max,DHL,DHL-M,ATL,ATL,,128.0,9.49,9.49,10.65,12.33,13.93,19.26,23.470000000000002,24.0,,,,,,
SM_Parcel_Expedited_Max,DHL,DHL-M,FL,MCO,MCO,144.0,OZ,9.69,9.69,10.1,13.02,21.94,25.59,26.24,26.67,0.36,0.0,0.0,0.12,,DHL-MATL144,DHL_Max,DHL,DHL-M,ATL,ATL,,144.0,9.97,9.97,11.299999999999999,13.19,14.98,20.930000000000003,25.75,26.360000000000003,,,,,,
SM_Parcel_Expedited_Max,DHL,DHL-M,FL,MCO,MCO,160.0,OZ,10.23,10.23,10.7,13.88,23.83,27.83,28.57,29.1,0.4,0.0,0.0,0.12,,DHL-MATL160,DHL_Max,DHL,DHL-M,ATL,ATL,,160.0,10.49,10.49,12.0,14.129999999999999,16.110000000000003,22.66,28.09,28.770000000000003,,,,,,
SM_Parcel_Expedited_Max,DHL,DHL-M,FL,MCO,MCO,176.0,OZ,10.83,10.83,11.32,14.76,25.75,30.11,30.91,31.57,0.44,0.0,0.0,0.12,,DHL-MATL176,DHL_Max,DHL,DHL-M,ATL,ATL,,176.0,11.06,11.06,12.73,15.07,17.25,24.42,30.46,31.21,,,,,,
SM_Parcel_Expedited_Max,DHL,DHL-M,FL,MCO,MCO,192.0,OZ,11.39,11.39,11.93,15.61,27.62,32.35,33.25,34.01,0.48,0.0,0.0,0.12,,DHL-MATL192,DHL_Max,DHL,DHL-M,ATL,ATL,,192.0,11.58,11.58,13.43,15.99,18.360000000000003,26.16,32.809999999999995,33.629999999999995,,,,,,
SM_Parcel_Expedited_Max,DHL,DHL-M,FL,MCO,MCO,208.0,OZ,11.92,11.92,12.49,16.45,29.5,34.57,35.56,36.41,0.52,0.0,0.0,0.12,,DHL-MATL208,DHL_Max,DHL,DHL-M,ATL,ATL,,208.0,12.09,12.09,14.1,16.89,19.46,27.87,35.129999999999995,36.019999999999996,,,,,,
SM_Parcel_Expedited_Max,DHL,DHL-M,FL,MCO,MCO,224.0,OZ,12.43,12.43,13.06,17.28,31.35,36.78,37.84,38.81,0.56,0.0,0.0,0.12,,DHL-MATL224,DHL_Max,DHL,DHL-M,ATL,ATL,,224.0,12.58,12.58,14.77,17.78,20.55,29.57,37.43,38.379999999999995,,,,,,
SM_Parcel_Expedited_Max,DHL,DHL-M,FL,MCO,MCO,240.0,OZ,13.03,13.03,13.69,18.18,33.28,39.08,40.22,41.28,0.6,0.0,0.0,0.12,,DHL-MATL240,DHL_Max,DHL,DHL-M,ATL,ATL,,240.0,13.16,13.16,15.52,18.75,21.700000000000003,31.360000000000003,39.809999999999995,40.839999999999996,,,,,,
SM_Parcel_Expedited_Max,DHL,DHL-M,FL,MCO,MCO,256.0,OZ,13.66,13.66,14.37,19.13,35.25,41.4,42.62,43.79,0.64,0.0,0.0,0.12,,DHL-MATL256,DHL_Max,DHL,DHL-M,ATL,ATL,,256.0,13.78,13.78,16.3,19.75,22.900000000000002,33.18,42.23,43.33,,,,,,
SM_Parcel_Expedited_Max,DHL,DHL-M,FL,MCO,MCO,272.0,OZ,14.3,14.3,15.04,20.07,37.22,43.73,45.03,46.31,0.68,0.0,0.0,0.12,,DHL-MATL272,DHL_Max,DHL,DHL-M,ATL,ATL,,272.0,14.39,14.39,17.07,20.75,24.1,34.97,44.65,45.83,,,,,,
SM_Parcel_Expedited_Max,DHL,DHL-M,FL,MCO,MCO,288.0,OZ,14.97,14.97,15.75,21.03,39.22,46.07,47.46,48.86,0.72,0.0,0.0,0.12,,DHL-MATL288,DHL_Max,DHL,DHL-M,ATL,ATL,,288.0,15.02,15.02,17.880000000000003,21.790000000000003,25.310000000000002,36.8,47.12,48.37,,,,,,
SM_Parcel_Expedited_Max,DHL,DHL-M,FL,MCO,MCO,304.0,OZ,15.57,15.57,16.39,21.93,41.15,48.36,49.84,51.34,0.76,0.0,0.0,0.12,,DHL-MATL304,DHL_Max,DHL,DHL-M,ATL,ATL,,304.0,15.6,15.6,18.62,22.75,26.470000000000002,38.58,49.5,50.809999999999995,,,,,,
SM_Parcel_Expedited_Max,DHL,DHL-M,FL,MCO,MCO,320.0,OZ,16.12,16.12,16.98,22.79,43.04,50.6,52.16,53.77,0.8,0.0,0.0,0.12,,DHL-MATL320,DHL_Max,DHL,DHL-M,ATL,ATL,,320.0,16.12,16.12,19.310000000000002,23.67,27.580000000000002,40.3,51.839999999999996,53.22,,,,,,
SM_Parcel_Expedited_Max,DHL,DHL-M,FL,MCO,MCO,336.0,OZ,16.44,16.44,17.35,23.42,44.69,52.64,54.25,55.96,0.84,0.0,0.0,0.12,,DHL-MATL336,DHL_Max,DHL,DHL-M,ATL,ATL,,336.0,16.44,16.44,19.790000000000003,24.360000000000003,28.470000000000002,41.82,53.949999999999996,55.4,,,,,,
SM_Parcel_Expedited_Max,DHL,DHL-M,FL,MCO,MCO,352.0,OZ,17.08,17.08,18.03,24.36,46.66,54.95,56.69,58.49,0.88,0.0,0.0,0.12,,DHL-MATL352,DHL_Max,DHL,DHL-M,ATL,ATL,,352.0,17.040000000000003,17.040000000000003,20.580000000000002,25.37,29.680000000000003,43.66,56.39,57.9,,,,,,
SM_Parcel_Expedited_Max,DHL,DHL-M,FL,MCO,MCO,368.0,OZ,17.65,17.65,18.65,25.24,48.58,57.22,59.03,60.96,0.92,0.0,0.0,0.12,,DHL-MATL368,DHL_Max,DHL,DHL-M,ATL,ATL,,368.0,17.580000000000002,17.580000000000002,21.3,26.310000000000002,30.810000000000002,45.41,58.76,60.35,,,,,,
SM_Parcel_Expedited_Max,DHL,DHL-M,FL,MCO,MCO,384.0,OZ,18.24,18.24,19.27,26.12,50.49,59.48,61.37,63.4,0.96,0.0,0.0,0.12,,DHL-MATL384,DHL_Max,DHL,DHL-M,ATL,ATL,,384.0,18.14,18.14,22.01,27.270000000000003,31.950000000000003,47.16,61.12,62.78,,,,,,
