Customer Number,Shipper,Location,Effective Date,Label Type,Product,Weight,Zone,Cost,Rate Type
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,1,1,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,1,2,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,1,3,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,1,4,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,1,5,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,1,6,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,1,7,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,1,8,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,1,9,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,1,10,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,1,11,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,1,12,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,1,13,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,1,M,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,2,1,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,2,2,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,2,3,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,2,4,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,2,5,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,2,6,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,2,7,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,2,8,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,2,9,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,2,10,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,2,11,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,2,12,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,2,13,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,2,M,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,3,1,,R
