Custom Setup ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60
Customer,Piccard Pet Supplies,,,Avg Weekly Volume,,,,,,,Product Mapping for Forge,,,,,,Rates,,,,,,,,,,,Best Rate using lowest Cost,,,,,,,,,,,,Forge to Forge Price Transfer,,,,,,,,,,,,,,,,,,,,
# of Darwin Accounts,,,,Priority,EXP Plus,Expedited,Ground,,,,Priority,EXP Plus,Expedited,Ground,,UID,Call type,Shipper Code,Weight ,Zone,FMD,Costs,Base,Mapping Rate,Active Rates,Carrier Status,,Call Type,Carrier,Weight ,Zone,Mapping ,Active,Volume,Active Costs,USPS,Tech Fee,UID,,Effective Date,Customer ID,Shipper,Location,Label Type,Product,Weight,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,M
Primary Transit,,,DHL-M,0,0,0,0,,,DHL-M,NO,NO,NO,NO,,ExpeditedDHL-X1&1,Expedited,DHL-X,1,1,0.11015831134564658,3.3724999999999996,3.79,,,Yes,,Expedited,,1,1,,,0.0056311765101021835,,,,Expedited11,,,,,,,,,,,,,,,,,,,,,,
Terminal ,MCO,,DHL-X,0,0,0,0,,,DHL-X,NO,NO,NO,NO,,ExpeditedDHL-X2&1,Expedited,DHL-X,2,1,0.1042216358839051,3.3949999999999996,3.79,,,Yes,,Expedited,,2,1,,,0,,,,Expedited21,,,,,,,,,,,,,,,,,,,,,,
Customer State ,FL,,DHL-G,0,0,0,0,,,DHL-G,NO,NO,NO,NO,,ExpeditedDHL-X3&1,Expedited,DHL-X,3,1,0.1009234828496044,3.4074999999999993,3.79,,,Yes,,Expedited,,3,1,,,0,,,,Expedited31,,,,,,,,,,,,,,,,,,,,,,
Customer Zip,32244,,NGS,0,0,0,0,,,NGS,NO,NO,NO,NO,,ExpeditedDHL-X4&1,Expedited,DHL-X,4,1,0.08970976253298169,3.4499999999999993,3.79,,,Yes,,Expedited,,4,1,,,0,,,,Expedited41,,,,,,,,,,,,,,,,,,,,,,
Agent,Chase Wolters,,OSM,0,0,0,0,,,OSM,NO,NO,NO,NO,,ExpeditedDHL-X5&1,Expedited,DHL-X,5,1,0.1395486935866984,3.6224999999999996,4.21,,,Yes,,Expedited,,5,1,,,0,,,,Expedited51,,,,,,,,,,,,,,,,,,,,,,
Customer Number,,,PostOne,0,0,0,0,,,PostOne,NO,NO,NO,NO,,ExpeditedDHL-X6&1,Expedited,DHL-X,6,1,0.13182897862232779,3.655,4.21,,,Yes,,Expedited,,6,1,,,0,,,,Expedited61,,,,,,,,,,,,,,,,,,,,,,
LOC_Company Name,Piccard Pet Supplies,,PO-GA,0,0,0,0,,,PO-GA,NO,NO,NO,NO,,ExpeditedDHL-X7&1,Expedited,DHL-X,7,1,0.1264845605700713,3.6774999999999998,4.21,,,Yes,,Expedited,,7,1,,,0,,,,Expedited71,,,,,,,,,,,,,,,,,,,,,,
Xparcel Customer?,Yes,,USPS FC,0,0,0,0,,,USPS FC,NO,NO,NO,NO,,ExpeditedDHL-X8&1,Expedited,DHL-X,8,1,0.1211401425178148,3.6999999999999997,4.21,,,Yes,,Expedited,,8,1,,,0,,,,Expedited81,,,,,,,,,,,,,,,,,,,,,,
Effective Date,2024-01-26 00:00:00,,USPS PM,0,0,0,0,,,USPS PM,NO,NO,NO,NO,,ExpeditedDHL-X9&1,Expedited,DHL-X,9,1,0.1925051334702259,3.9324999999999997,4.87,,,Yes,,Expedited,,9,1,,,0,,,,Expedited91,,,,,,,,,,,,,,,,,,,,,,
FM Fuel Surcharge,0.11,,USPS GA,0,0,0,0,,,USPS GA,NO,NO,NO,NO,,ExpeditedDHL-X10&1,Expedited,DHL-X,10,1,0.1837782340862424,3.9749999999999996,4.87,,,Yes,,Expedited,,10,1,,,0,,,,Expedited101,,,,,,,,,,,,,,,,,,,,,,
CY Customer Fuel Discount,0.5,,FM-X,0,0,0,0,,,FM-X,NO,NO,NO,NO,,ExpeditedDHL-X11&1,Expedited,DHL-X,11,1,0.18121149897330613,3.9874999999999994,4.87,,,Yes,,Expedited,,11,1,,,0,,,,Expedited111,,,,,,,,,,,,,,,,,,,,,,
Sophistication level,2,,FM-G,0,0,0,0,,,FM-G,NO,NO,NO,NO,,ExpeditedDHL-X12&1,Expedited,DHL-X,12,1,0.17453798767967155,4.02,4.87,,,Yes,,Expedited,,12,1,,,0,,,,Expedited121,,,,,,,,,,,,,,,,,,,,,,
Input Source,,,FM-P,0,0,0,0,,,FM-P,NO,NO,NO,NO,,ExpeditedDHL-X13&1,Expedited,DHL-X,13,1,0.29619124797406815,4.342499999999999,6.17,,,Yes,,Expedited,,13,1,,,0,,,,Expedited131,,,,,,,,,,,,,,,,,,,,,,
Shipping System,Other,,FM DDU,0,0,0,0,,,FM DDU,NO,NO,NO,NO,,ExpeditedDHL-X14&1,Expedited,DHL-X,14,1,0.29416531604538076,4.355,6.17,,,Yes,,Expedited,,14,1,,,0,,,,Expedited141,,,,,,,,,,,,,,,,,,,,,,
,,,ONT RPD,0,0,0,0,,,ONT RPD,NO,NO,NO,NO,,ExpeditedDHL-X15&1,Expedited,DHL-X,15,1,0.2888978930307943,4.387499999999999,6.17,,,Yes,,Expedited,,15,1,,,0,,,,Expedited151,,,,,,,,,,,,,,,,,,,,,,
