Unnamed: 0,9,10,11,12,13,M,Unnamed: 7,FM APO and NC Fee,Unnamed: 9,Unnamed: 10,Unnamed: 11,1,2,3,4,5,6,7,8,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,"White = Input, Blue = formula, Green = lookup from this tab. NGS, and PTMT inputs should be cost plus markup (20% for NGS, 3% for PTMT). PostOne inputs should be PM CPP for 1-10lbs and PM Retail for 11-25lbs) RPD Inputs should be UPS Ground Comm Tariff.",Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
1,6.12,6.12,6.12,6.12,6.12,6.12,,6.12,,,UM,8.15,8.15,8.15,8.15,8.15,8.15,8.15,8.15,,UID,Shipper,Product,Weight,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,M
2,6.12,6.12,6.12,6.12,6.12,6.12,,6.12,,,,,,,,,,,,,NGS_Parcel_Select416,NGS,NGS_Parcel_Select,416,18.26,18.26,18.54,19.67,20.64,23.32,23.93,25.02,113.18,113.18,113.18,113.18,113.18,113.18
3,6.12,6.12,6.12,6.12,6.12,6.12,,6.12,,,,,,,,,,,,,NGS_Parcel_Select432,NGS,NGS_Parcel_Select,432,18.52,18.52,18.79,19.96,20.98,23.74,24.32,25.48,116.09,116.09,116.09,116.09,116.09,116.09
4,6.12,6.12,6.12,6.12,6.12,6.12,,6.12,,,,,,,,,,,,,NGS_Parcel_Select448,NGS,NGS_Parcel_Select,448,18.78,18.78,19.06,20.23,21.28,24.13,24.74,25.93,118.94,118.94,118.94,118.94,118.94,118.94
5,6.47,6.47,6.47,6.47,6.47,6.47,,6.47,,,,,,,,,,,,,NGS_Parcel_Select464,NGS,NGS_Parcel_Select,464,19.02,19.02,19.32,20.56,21.61,24.5,25.14,26.34,121.74,121.74,121.74,121.74,121.74,121.74
6,6.47,6.47,6.47,6.47,6.47,6.47,,6.47,,,,,,,,,,,,,NGS_Parcel_Select480,NGS,NGS_Parcel_Select,480,19.25,19.25,19.6,20.81,21.9,24.9,25.54,26.81,124.5,124.5,124.5,124.5,124.5,124.5
7,6.47,6.47,6.47,6.47,6.47,6.47,,6.47,,,,,,,,,,,,,NGS_Parcel_Select496,NGS,NGS_Parcel_Select,496,19.51,19.51,19.84,21.1,22.19,25.25,25.96,27.2,127.21,127.21,127.21,127.21,127.21,127.21
8,6.47,6.47,6.47,6.47,6.47,6.47,,6.47,,,,,,,,,,,,,NGS_Parcel_Select512,NGS,NGS_Parcel_Select,512,19.74,19.74,20.06,21.36,22.49,25.63,26.34,27.62,129.92,129.92,129.92,129.92,129.92,129.92
9,7.5,7.5,7.5,7.5,7.5,7.5,,7.5,,,,,,,,,,,,,NGS_Parcel_Select528,NGS,NGS_Parcel_Select,528,19.99,19.99,20.36,21.66,22.84,26.02,26.7,28.04,132.6,132.6,132.6,132.6,132.6,132.6
10,7.5,7.5,7.5,7.5,7.5,7.5,,7.5,,,,,,,,,,,,,NGS_Parcel_Select544,NGS,NGS_Parcel_Select,544,20.23,20.23,20.58,21.94,23.12,26.42,27.14,28.48,135.3,135.3,135.3,135.3,135.3,135.3
11,7.5,7.5,7.5,7.5,7.5,7.5,,7.5,,,,,,,,,,,,,NGS_Parcel_Select560,NGS,NGS_Parcel_Select,560,20.53,20.53,20.86,22.21,23.44,26.81,27.52,28.93,137.95,137.95,137.95,137.95,137.95,137.95
12,7.5,7.5,7.5,7.5,7.5,7.5,,7.5,,,,,,,,,,,,,NGS_Parcel_Select576,NGS,NGS_Parcel_Select,576,23.04,23.04,23.42,24.83,26.05,29.48,30.2,31.63,140.52,140.52,140.52,140.52,140.52,140.52
13,9.19,9.19,9.19,9.19,9.19,9.19,,9.19,,,,,,,,,,,,,NGS_Parcel_Select592,NGS,NGS_Parcel_Select,592,23.47,23.47,23.87,25.32,26.58,30.12,30.88,32.33,143.05,143.05,143.05,143.05,143.05,143.05
14,9.19,9.19,9.19,9.19,9.19,9.19,,9.19,,,,,,,,,,,,,NGS_Parcel_Select608,NGS,NGS_Parcel_Select,608,23.92,23.92,24.32,25.78,27.1,30.73,31.51,32.99,145.66,145.66,145.66,145.66,145.66,145.66
15,9.19,9.19,9.19,9.19,9.19,9.19,,9.19,,,,,,,,,,,,,NGS_Parcel_Select624,NGS,NGS_Parcel_Select,624,24.34,24.34,24.74,26.27,27.62,31.36,32.16,33.71,148.26,148.26,148.26,148.26,148.26,148.26
15.99,9.19,9.19,9.19,9.19,9.19,9.19,,9.19,,,,,,,,,,,,,NGS_Parcel_Select640,NGS,NGS_Parcel_Select,640,24.8,24.8,25.19,26.76,28.18,31.97,32.78,34.38,150.82,150.82,150.82,150.82,150.82,150.82
16,17.58,17.58,17.58,17.58,17.58,17.58,,17.58,,,,,,,,,,,,,NGS_Parcel_Select656,NGS,NGS_Parcel_Select,656,25.2,25.2,25.64,27.24,28.68,32.6,33.42,35.05,153.4,153.4,153.4,153.4,153.4,153.4
32,23.1,23.1,23.1,23.1,23.1,23.1,,23.1,,,,,,,,,,,,,NGS_Parcel_Select672,NGS,NGS_Parcel_Select,672,25.67,25.67,26.09,27.73,29.22,33.22,34.08,35.74,155.95,155.95,155.95,155.95,155.95,155.95
48,29.16,29.16,29.16,29.16,29.16,29.16,,29.16,,,,,,,,,,,,,NGS_Parcel_Select688,NGS,NGS_Parcel_Select,688,26.11,26.11,26.53,28.24,29.71,33.83,34.7,36.43,158.54,158.54,158.54,158.54,158.54,158.54
64,33.72,33.72,33.72,33.72,33.72,33.72,,33.72,,,,,,,,,,,,,NGS_Parcel_Select704,NGS,NGS_Parcel_Select,704,26.54,26.54,26.99,28.72,30.25,34.45,35.34,37.1,161.06,161.06,161.06,161.06,161.06,161.06
80,38.82,38.82,38.82,38.82,38.82,38.82,,38.82,,,,,,,,,,,,,NGS_Parcel_Select720,NGS,NGS_Parcel_Select,720,26.99,26.99,27.46,29.22,30.78,35.09,36.0,37.76,163.69,163.69,163.69,163.69,163.69,163.69
96,43.8,43.8,43.8,43.8,43.8,43.8,,43.8,,,,,,,,,,,,,NGS_Parcel_Select736,NGS,NGS_Parcel_Select,736,27.44,27.44,27.9,29.7,31.3,35.68,36.64,38.44,166.25,166.25,166.25,166.25,166.25,166.25
112,48.9,48.9,48.9,48.9,48.9,48.9,,48.9,,,,,,,,,,,,,NGS_Parcel_Select752,NGS,NGS_Parcel_Select,752,27.86,27.86,28.33,30.17,31.81,36.29,37.3,39.14,168.85,168.85,168.85,168.85,168.85,168.85
128,54.18,54.18,54.18,54.18,54.18,54.18,,54.18,,,,,,,,,,,,,NGS_Parcel_Select768,NGS,NGS_Parcel_Select,768,28.26,28.26,28.76,30.71,32.33,36.92,37.91,39.83,171.36,171.36,171.36,171.36,171.36,171.36
144,58.86,58.86,58.86,58.86,58.86,58.86,,58.86,,,,,,,,,,,,,NGS_Parcel_Select784,NGS,NGS_Parcel_Select,784,28.73,28.73,29.24,31.18,32.86,37.54,38.56,40.5,173.99,173.99,173.99,173.99,173.99,173.99
160,63.78,63.78,63.78,63.78,63.78,63.78,,63.78,,,,,,,,,,,,,NGS_Parcel_Select800,NGS,NGS_Parcel_Select,800,29.2,29.2,29.69,31.63,33.4,38.17,39.19,41.2,176.56,176.56,176.56,176.56,176.56,176.56
176,68.88,68.88,68.88,68.88,68.88,68.88,,68.88,,,,,,,,,,,,,NGS_Parcel_Select816,NGS,NGS_Parcel_Select,816,29.6,29.6,30.13,32.15,33.91,38.8,39.84,41.88,179.1,179.1,179.1,179.1,179.1,179.1
192,74.22,74.22,74.22,74.22,74.22,74.22,,74.22,,,,,,,,,,,,,NGS_Parcel_Select832,NGS,NGS_Parcel_Select,832,30.06,30.06,30.58,32.64,34.45,39.41,40.49,42.56,181.7,181.7,181.7,181.7,181.7,181.7
208,79.86,79.86,79.86,79.86,79.86,79.86,,79.86,,,,,,,,,,,,,NGS_Parcel_Select848,NGS,NGS_Parcel_Select,848,30.52,30.52,31.06,33.13,34.99,40.04,41.18,43.26,184.3,184.3,184.3,184.3,184.3,184.3
224,85.62,85.62,85.62,85.62,85.62,85.62,,85.62,,,,,,,,,,,,,NGS_Parcel_Select864,NGS,NGS_Parcel_Select,864,30.94,30.94,31.52,33.61,35.53,40.69,41.82,43.92,186.86,186.86,186.86,186.86,186.86,186.86
240,89.22,89.22,89.22,89.22,89.22,89.22,,89.22,,,,,,,,,,,,,NGS_Parcel_Select880,NGS,NGS_Parcel_Select,880,31.38,31.38,31.97,34.15,36.04,41.3,42.48,44.62,189.38,189.38,189.38,189.38,189.38,189.38
256,94.14,94.14,94.14,94.14,94.14,94.14,,94.14,,,,,,,,,,,,,NGS_Parcel_Select896,NGS,NGS_Parcel_Select,896,31.82,31.82,32.41,34.64,36.55,41.93,43.12,45.32,191.98,191.98,191.98,191.98,191.98,191.98
272,99.06,99.06,99.06,99.06,99.06,99.06,,99.06,,,,,,,,,,,,,NGS_Parcel_Select912,NGS,NGS_Parcel_Select,912,32.3,32.3,32.87,35.11,37.13,42.58,43.76,46.02,194.63,194.63,194.63,194.63,194.63,194.63
288,104.04,104.04,104.04,104.04,104.04,104.04,,104.04,,,,,,,,,,,,,NGS_Parcel_Select928,NGS,NGS_Parcel_Select,928,32.71,32.71,33.34,35.63,37.67,43.18,44.4,46.73,197.12,197.12,197.12,197.12,197.12,197.12
304,107.64,107.64,107.64,107.64,107.64,107.64,,107.64,,,,,,,,,,,,,NGS_Parcel_Select944,NGS,NGS_Parcel_Select,944,33.18,33.18,33.79,36.08,38.21,43.82,45.07,47.41,199.76,199.76,199.76,199.76,199.76,199.76
320,112.5,112.5,112.5,112.5,112.5,112.5,,112.5,,,,,,,,,,,,,NGS_Parcel_Select960,NGS,NGS_Parcel_Select,960,33.64,33.64,34.26,36.64,38.75,44.51,45.74,48.13,202.28,202.28,202.28,202.28,202.28,202.28
336,116.28,116.28,116.28,116.28,116.28,116.28,,116.28,,,,,,,,,,,,,NGS_Parcel_Select976,NGS,NGS_Parcel_Select,976,34.1,34.1,34.74,37.16,39.32,45.19,46.44,48.86,204.89,204.89,204.89,204.89,204.89,204.89
352,120.06,120.06,120.06,120.06,120.06,120.06,,120.06,,,,,,,,,,,,,NGS_Parcel_Select992,NGS,NGS_Parcel_Select,992,34.62,34.62,35.26,37.68,39.88,45.83,47.15,49.62,207.43,207.43,207.43,207.43,207.43,207.43
368,123.84,123.84,123.84,123.84,123.84,123.84,,123.84,,,,,,,,,,,,,NGS_Parcel_Select1008,NGS,NGS_Parcel_Select,1008,35.05,35.05,35.68,38.2,40.42,46.46,47.77,50.29,209.98,209.98,209.98,209.98,209.98,209.98
