Customer ID,Customer Name ,Effective Date,Data Type,Transit,Data
,Piccard Pet Supplies,2024-01-26,Tool Version,,el_01-26-24
,Piccard Pet Supplies,2024-01-26,Primary Transit,,Exp Plus
,Piccard Pet Supplies,2024-01-26,Terminal,,MCO
,Piccard Pet Supplies,2024-01-26,State,,FL
,Piccard Pet Supplies,2024-01-26,Zip,,32244
,Piccard Pet Supplies,2024-01-26,Rep,,Chase Wolters
,Piccard Pet Supplies,2024-01-26,Xparcel,,Yes
,Piccard Pet Supplies,2024-01-26,Effective Fuel rate,,0.055
,Piccard Pet Supplies,2024-01-26,Sophistication ,,2
,Piccard Pet Supplies,2024-01-26,FM Margin CY,Exp Plus,
,Piccard Pet Supplies,2024-01-26,FM Margin PY,Exp Plus,
,Piccard Pet Supplies,2024-01-26,FM Margin CY,Priority,0.047109869320255515
,Piccard Pet Supplies,2024-01-26,FM Margin PY,Priority,0.047109869320255515
,Piccard Pet Supplies,2024-01-26,FM Margin CY,Expedited,0
,Piccard Pet Supplies,2024-01-26,FM Margin PY,Expedited,0
,Piccard Pet Supplies,2024-01-26,FM Margin CY,Ground,Joshua Peters
,Piccard Pet Supplies,2024-01-26,FM Margin PY,Ground,0
,Piccard Pet Supplies,2024-01-26,Customer Discount CY,Exp Plus,
,Piccard Pet Supplies,2024-01-26,Customer Discount PY,Exp Plus,
,Piccard Pet Supplies,2024-01-26,Customer Discount CY,Priority,0.09179077804555735
,Piccard Pet Supplies,2024-01-26,Customer Discount PY,Priority,0.05267753534058184
,Piccard Pet Supplies,2024-01-26,Customer Discount  CY,Expedited,0
,Piccard Pet Supplies,2024-01-26,Customer Discount PY,Expedited,0
,Piccard Pet Supplies,2024-01-26,Customer Discount CY,Ground,Ready for Approval
,Piccard Pet Supplies,2024-01-26,Customer Discount PY,Ground,0
,Piccard Pet Supplies,2024-01-26,Customer PODGA CY,Exp Plus,
,Piccard Pet Supplies,2024-01-26,Customer PODGA PY,Exp Plus,
