Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
,CY USPS GA,,,,,,,,,,PY USPS GA,,,,,,,,
,,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,,,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
1,1,3.79,3.84,3.86,3.96,4.02,4.11,4.19,4.36,,1,3.59,3.64,3.66,3.75,3.81,3.9,3.97,4.13
2,2,3.79,3.84,3.86,3.96,4.02,4.11,4.19,4.36,,2,3.59,3.64,3.66,3.75,3.81,3.9,3.97,4.13
3,3,3.79,3.84,3.86,3.96,4.02,4.11,4.19,4.36,,3,3.59,3.64,3.66,3.75,3.81,3.9,3.97,4.13
4,4,3.79,3.84,3.86,3.96,4.02,4.11,4.19,4.36,,4,3.59,3.64,3.66,3.75,3.81,3.9,3.97,4.13
5,5,4.21,4.28,4.31,4.38,4.43,4.47,4.55,4.68,,5,3.99,4.06,4.09,4.15,4.2,4.24,4.31,4.44
6,6,4.21,4.28,4.31,4.38,4.43,4.47,4.55,4.68,,6,3.99,4.06,4.09,4.15,4.2,4.24,4.31,4.44
7,7,4.21,4.28,4.31,4.38,4.43,4.47,4.55,4.68,,7,3.99,4.06,4.09,4.15,4.2,4.24,4.31,4.44
8,8,4.21,4.28,4.31,4.38,4.43,4.47,4.55,4.68,,8,3.99,4.06,4.09,4.15,4.2,4.24,4.31,4.44
9,9,4.87,4.95,5.0,5.07,5.15,5.32,5.45,5.62,,9,4.62,4.69,4.74,4.81,4.88,5.04,5.17,5.33
10,10,4.87,4.95,5.0,5.07,5.15,5.32,5.45,5.62,,10,4.62,4.69,4.74,4.81,4.88,5.04,5.17,5.33
11,11,4.87,4.95,5.0,5.07,5.15,5.32,5.45,5.62,,11,4.62,4.69,4.74,4.81,4.88,5.04,5.17,5.33
12,12,4.87,4.95,5.0,5.07,5.15,5.32,5.45,5.62,,12,4.62,4.69,4.74,4.81,4.88,5.04,5.17,5.33
13,13,6.17,6.26,6.33,6.4,6.56,6.79,6.96,7.15,,13,5.85,5.93,6.0,6.07,6.22,6.44,6.6,6.78
14,14,6.17,6.26,6.33,6.4,6.56,6.79,6.96,7.15,,14,5.85,5.93,6.0,6.07,6.22,6.44,6.6,6.78
15,15,6.17,6.26,6.33,6.4,6.56,6.79,6.96,7.15,,15,5.85,5.93,6.0,6.07,6.22,6.44,6.6,6.78
15.99,15.99,6.17,6.26,6.33,6.4,6.56,6.79,6.96,7.15,,15.99,5.85,5.93,6.0,6.07,6.22,6.44,6.6,6.78
16,16,6.83,6.91,6.99,7.13,7.49,8.42,8.63,8.91,,16,6.47,6.55,6.63,6.76,7.1,7.98,8.18,8.45
32,32,7.21,7.32,7.54,7.75,8.28,9.67,9.99,10.42,,32,6.83,6.94,7.15,7.35,7.85,9.17,9.47,9.88
48,48,7.56,7.66,8.16,8.51,9.23,10.58,11.27,12.06,,48,7.17,7.26,7.73,8.07,8.75,10.03,10.68,11.43
64,64,7.81,7.89,8.56,9.03,9.86,11.19,12.12,13.16,,64,7.4,7.48,8.11,8.56,9.35,10.61,11.49,12.47
80,80,7.99,8.06,8.86,9.41,10.44,11.77,12.89,14.16,,80,7.57,7.64,8.4,8.92,9.9,11.16,12.22,13.42
96,96,8.17,8.23,9.17,9.79,11.02,12.36,13.67,15.16,,96,7.74,7.8,8.69,9.28,10.45,11.72,12.96,14.37
112,112,8.43,8.5,9.59,10.32,11.67,13.07,14.58,16.3,,112,7.99,8.06,9.09,9.78,11.06,12.39,13.82,15.45
128,128,8.79,8.84,10.05,10.87,12.31,13.78,15.49,17.44,,128,8.33,8.38,9.53,10.3,11.67,13.06,14.68,16.53
144,144,9.28,9.35,10.56,11.46,12.94,14.5,16.38,18.6,,144,8.8,8.86,10.01,10.86,12.27,13.74,15.53,17.63
160,160,9.9,9.96,11.09,12.06,13.58,15.22,17.28,19.76,,160,9.38,9.44,10.51,11.43,12.87,14.43,16.38,18.73
176,176,10.78,10.83,11.64,12.68,14.21,15.97,18.18,20.91,,176,10.22,10.27,11.03,12.02,13.47,15.14,17.23,19.82
192,192,11.33,11.39,12.16,13.28,14.86,16.73,19.1,22.06,,192,10.74,10.8,11.53,12.59,14.09,15.86,18.1,20.91
208,208,11.84,11.92,12.68,13.86,15.52,17.51,20.01,23.22,,208,11.22,11.3,12.02,13.14,14.71,16.6,18.97,22.01
224,224,12.28,12.4,13.15,14.39,16.17,18.31,20.95,24.38,,224,11.64,11.75,12.46,13.64,15.33,17.36,19.86,23.11
240,240,12.65,12.78,13.56,14.86,16.83,19.11,21.87,25.52,,240,11.99,12.11,12.85,14.09,15.95,18.11,20.73,24.19
256,256,12.94,13.09,13.9,15.28,17.46,19.88,22.76,26.63,,256,12.27,12.41,13.18,14.48,16.55,18.84,21.57,25.24
272,272,13.23,13.4,14.26,15.7,17.92,20.4,23.41,27.47,,272,12.54,12.7,13.52,14.88,16.99,19.34,22.19,26.04
288,288,13.57,13.75,14.64,16.13,18.44,21.02,24.15,28.41,,288,12.86,13.03,13.88,15.29,17.48,19.92,22.89,26.93
304,304,13.88,14.09,15.01,16.55,18.95,21.62,24.87,29.32,,304,13.16,13.36,14.23,15.69,17.96,20.49,23.57,27.79
320,320,14.5,14.9,15.95,17.12,20.01,23.32,27.46,31.72,,320,13.45,13.67,14.57,16.08,18.43,21.05,24.23,28.62
336,336,15.4,16.29,17.23,18.17,21.73,26.3,31.56,35.76,,336,14.8,15.91,16.86,17.67,21.56,25.79,31.31,35.17
352,352,16.54,17.71,18.84,20.06,24.51,30.5,36.86,41.37,,352,15.9,17.09,18.29,19.7,24.26,29.79,36.01,40.44
