UID for Upload Lookup,Effective Date,Customer ID,Shipper,Location,Label Type,Product,Weight,1,2,3,4,5,6,7,8,9,10,11,12,13,M
DHLXparcel_EXPPLUSDHL_Max1,Delete,,DHL,,Xparcel_EXPPLUS,DHL_Max,1,,,,,,,,,,,,,,
DHLXparcel_EXPPLUSDHL_Max2,Delete,,DHL,,Xparcel_EXPPLUS,DHL_Max,2,,,,,,,,,,,,,,
DHLXparcel_EXPPLUSDHL_Max3,Delete,,DHL,,Xparcel_EXPPLUS,DHL_Max,3,,,,,,,,,,,,,,
DHLXparcel_EXPPLUSDHL_Max4,Delete,,DHL,,Xparcel_EXPPLUS,DHL_Max,4,,,,,,,,,,,,,,
DHLXparcel_EXPPLUSDHL_Max5,Delete,,DHL,,Xparcel_EXPPLUS,DHL_Max,5,,,,,,,,,,,,,,
DHLXparcel_EXPPLUSDHL_Max6,Delete,,DHL,,Xparcel_EXPPLUS,DHL_Max,6,,,,,,,,,,,,,,
DHLXparcel_EXPPLUSDHL_Max7,Delete,,DHL,,Xparcel_EXPPLUS,DHL_Max,7,,,,,,,,,,,,,,
DHLXparcel_EXPPLUSDHL_Max8,Delete,,DHL,,Xparcel_EXPPLUS,DHL_Max,8,,,,,,,,,,,,,,
DHLXparcel_EXPPLUSDHL_Max9,Delete,,DHL,,Xparcel_EXPPLUS,DHL_Max,9,,,,,,,,,,,,,,
DHLXparcel_EXPPLUSDHL_Max10,Delete,,DHL,,Xparcel_EXPPLUS,DHL_Max,10,,,,,,,,,,,,,,
DHLXparcel_EXPPLUSDHL_Max11,Delete,,DHL,,Xparcel_EXPPLUS,DHL_Max,11,,,,,,,,,,,,,,
DHLXparcel_EXPPLUSDHL_Max12,Delete,,DHL,,Xparcel_EXPPLUS,DHL_Max,12,,,,,,,,,,,,,,
DHLXparcel_EXPPLUSDHL_Max13,Delete,,DHL,,Xparcel_EXPPLUS,DHL_Max,13,,,,,,,,,,,,,,
DHLXparcel_EXPPLUSDHL_Max14,Delete,,DHL,,Xparcel_EXPPLUS,DHL_Max,14,,,,,,,,,,,,,,
DHLXparcel_EXPPLUSDHL_Max15,Delete,,DHL,,Xparcel_EXPPLUS,DHL_Max,15,,,,,,,,,,,,,,
DHLXparcel_EXPPLUSDHL_Max16,Delete,,DHL,,Xparcel_EXPPLUS,DHL_Max,16,,,,,,,,,,,,,,
DHLXparcel_EXPPLUSDHL_Max16,Delete,,DHL,,Xparcel_EXPPLUS,DHL_Max,16,,,,,,,,,,,,,,
DHLXparcel_EXPPLUSDHL_Max32,Delete,,DHL,,Xparcel_EXPPLUS,DHL_Max,32,,,,,,,,,,,,,,
DHLXparcel_EXPPLUSDHL_Max48,Delete,,DHL,,Xparcel_EXPPLUS,DHL_Max,48,,,,,,,,,,,,,,
DHLXparcel_EXPPLUSDHL_Max64,Delete,,DHL,,Xparcel_EXPPLUS,DHL_Max,64,,,,,,,,,,,,,,
DHLXparcel_EXPPLUSDHL_Max80,Delete,,DHL,,Xparcel_EXPPLUS,DHL_Max,80,,,,,,,,,,,,,,
DHLXparcel_EXPPLUSDHL_Max96,Delete,,DHL,,Xparcel_EXPPLUS,DHL_Max,96,,,,,,,,,,,,,,
DHLXparcel_EXPPLUSDHL_Max112,Delete,,DHL,,Xparcel_EXPPLUS,DHL_Max,112,,,,,,,,,,,,,,
DHLXparcel_EXPPLUSDHL_Max128,Delete,,DHL,,Xparcel_EXPPLUS,DHL_Max,128,,,,,,,,,,,,,,
DHLXparcel_EXPPLUSDHL_Max144,Delete,,DHL,,Xparcel_EXPPLUS,DHL_Max,144,,,,,,,,,,,,,,
DHLXparcel_EXPPLUSDHL_Max160,Delete,,DHL,,Xparcel_EXPPLUS,DHL_Max,160,,,,,,,,,,,,,,
DHLXparcel_EXPPLUSDHL_Max176,Delete,,DHL,,Xparcel_EXPPLUS,DHL_Max,176,,,,,,,,,,,,,,
DHLXparcel_EXPPLUSDHL_Max192,Delete,,DHL,,Xparcel_EXPPLUS,DHL_Max,192,,,,,,,,,,,,,,
DHLXparcel_EXPPLUSDHL_Max208,Delete,,DHL,,Xparcel_EXPPLUS,DHL_Max,208,,,,,,,,,,,,,,
DHLXparcel_EXPPLUSDHL_Max224,Delete,,DHL,,Xparcel_EXPPLUS,DHL_Max,224,,,,,,,,,,,,,,
DHLXparcel_EXPPLUSDHL_Max240,Delete,,DHL,,Xparcel_EXPPLUS,DHL_Max,240,,,,,,,,,,,,,,
DHLXparcel_EXPPLUSDHL_Max256,Delete,,DHL,,Xparcel_EXPPLUS,DHL_Max,256,,,,,,,,,,,,,,
DHLXparcel_EXPPLUSDHL_Max272,Delete,,DHL,,Xparcel_EXPPLUS,DHL_Max,272,,,,,,,,,,,,,,
DHLXparcel_EXPPLUSDHL_Max288,Delete,,DHL,,Xparcel_EXPPLUS,DHL_Max,288,,,,,,,,,,,,,,
DHLXparcel_EXPPLUSDHL_Max304,Delete,,DHL,,Xparcel_EXPPLUS,DHL_Max,304,,,,,,,,,,,,,,
DHLXparcel_EXPPLUSDHL_Max320,Delete,,DHL,,Xparcel_EXPPLUS,DHL_Max,320,,,,,,,,,,,,,,
DHLXparcel_EXPPLUSDHL_Max336,Delete,,DHL,,Xparcel_EXPPLUS,DHL_Max,336,,,,,,,,,,,,,,
DHLXparcel_EXPPLUSDHL_Max352,Delete,,DHL,,Xparcel_EXPPLUS,DHL_Max,352,,,,,,,,,,,,,,
DHLXparcel_EXPPLUSDHL_Max368,Delete,,DHL,,Xparcel_EXPPLUS,DHL_Max,368,,,,,,,,,,,,,,
DHLXparcel_EXPPLUSDHL_Max384,Delete,,DHL,,Xparcel_EXPPLUS,DHL_Max,384,,,,,,,,,,,,,,
DHLXparcel_EXPPLUSDHL_Max400,Delete,,DHL,,Xparcel_EXPPLUS,DHL_Max,400,,,,,,,,,,,,,,
DHLXparcel_EXPPLUSSM_Parcels_Expedited1,Delete,,DHL,,Xparcel_EXPPLUS,SM_Parcels_Expedited,1,,,,,,,,,,,,,,
DHLXparcel_EXPPLUSSM_Parcels_Expedited2,Delete,,DHL,,Xparcel_EXPPLUS,SM_Parcels_Expedited,2,,,,,,,,,,,,,,
DHLXparcel_EXPPLUSSM_Parcels_Expedited3,Delete,,DHL,,Xparcel_EXPPLUS,SM_Parcels_Expedited,3,,,,,,,,,,,,,,
DHLXparcel_EXPPLUSSM_Parcels_Expedited4,Delete,,DHL,,Xparcel_EXPPLUS,SM_Parcels_Expedited,4,,,,,,,,,,,,,,
DHLXparcel_EXPPLUSSM_Parcels_Expedited5,Delete,,DHL,,Xparcel_EXPPLUS,SM_Parcels_Expedited,5,,,,,,,,,,,,,,
DHLXparcel_EXPPLUSSM_Parcels_Expedited6,Delete,,DHL,,Xparcel_EXPPLUS,SM_Parcels_Expedited,6,,,,,,,,,,,,,,
DHLXparcel_EXPPLUSSM_Parcels_Expedited7,Delete,,DHL,,Xparcel_EXPPLUS,SM_Parcels_Expedited,7,,,,,,,,,,,,,,
DHLXparcel_EXPPLUSSM_Parcels_Expedited8,Delete,,DHL,,Xparcel_EXPPLUS,SM_Parcels_Expedited,8,,,,,,,,,,,,,,
DHLXparcel_EXPPLUSSM_Parcels_Expedited9,Delete,,DHL,,Xparcel_EXPPLUS,SM_Parcels_Expedited,9,,,,,,,,,,,,,,
DHLXparcel_EXPPLUSSM_Parcels_Expedited10,Delete,,DHL,,Xparcel_EXPPLUS,SM_Parcels_Expedited,10,,,,,,,,,,,,,,
DHLXparcel_EXPPLUSSM_Parcels_Expedited11,Delete,,DHL,,Xparcel_EXPPLUS,SM_Parcels_Expedited,11,,,,,,,,,,,,,,
DHLXparcel_EXPPLUSSM_Parcels_Expedited12,Delete,,DHL,,Xparcel_EXPPLUS,SM_Parcels_Expedited,12,,,,,,,,,,,,,,
DHLXparcel_EXPPLUSSM_Parcels_Expedited13,Delete,,DHL,,Xparcel_EXPPLUS,SM_Parcels_Expedited,13,,,,,,,,,,,,,,
DHLXparcel_EXPPLUSSM_Parcels_Expedited14,Delete,,DHL,,Xparcel_EXPPLUS,SM_Parcels_Expedited,14,,,,,,,,,,,,,,
DHLXparcel_EXPPLUSSM_Parcels_Expedited15,Delete,,DHL,,Xparcel_EXPPLUS,SM_Parcels_Expedited,15,,,,,,,,,,,,,,
DHLXparcel_EXPPLUSSM_Parcels_Expedited16,Delete,,DHL,,Xparcel_EXPPLUS,SM_Parcels_Expedited,16,,,,,,,,,,,,,,
DHLXparcel_EXPPLUSSM_Parcel_Plus_Expedited16,Delete,,DHL,,Xparcel_EXPPLUS,SM_Parcel_Plus_Expedited,16,,,,,,,,,,,,,,
DHLXparcel_EXPPLUSSM_Parcel_Plus_Expedited32,Delete,,DHL,,Xparcel_EXPPLUS,SM_Parcel_Plus_Expedited,32,,,,,,,,,,,,,,
DHLXparcel_EXPPLUSSM_Parcel_Plus_Expedited48,Delete,,DHL,,Xparcel_EXPPLUS,SM_Parcel_Plus_Expedited,48,,,,,,,,,,,,,,
DHLXparcel_EXPPLUSSM_Parcel_Plus_Expedited64,Delete,,DHL,,Xparcel_EXPPLUS,SM_Parcel_Plus_Expedited,64,,,,,,,,,,,,,,
DHLXparcel_EXPPLUSSM_Parcel_Plus_Expedited80,Delete,,DHL,,Xparcel_EXPPLUS,SM_Parcel_Plus_Expedited,80,,,,,,,,,,,,,,
DHLXparcel_EXPPLUSSM_Parcel_Plus_Expedited96,Delete,,DHL,,Xparcel_EXPPLUS,SM_Parcel_Plus_Expedited,96,,,,,,,,,,,,,,
DHLXparcel_EXPPLUSSM_Parcel_Plus_Expedited112,Delete,,DHL,,Xparcel_EXPPLUS,SM_Parcel_Plus_Expedited,112,,,,,,,,,,,,,,
DHLXparcel_EXPPLUSSM_Parcel_Plus_Expedited128,Delete,,DHL,,Xparcel_EXPPLUS,SM_Parcel_Plus_Expedited,128,,,,,,,,,,,,,,
DHLXparcel_EXPPLUSSM_Parcel_Plus_Expedited144,Delete,,DHL,,Xparcel_EXPPLUS,SM_Parcel_Plus_Expedited,144,,,,,,,,,,,,,,
DHLXparcel_EXPPLUSSM_Parcel_Plus_Expedited160,Delete,,DHL,,Xparcel_EXPPLUS,SM_Parcel_Plus_Expedited,160,,,,,,,,,,,,,,
DHLXparcel_EXPPLUSSM_Parcel_Plus_Expedited176,Delete,,DHL,,Xparcel_EXPPLUS,SM_Parcel_Plus_Expedited,176,,,,,,,,,,,,,,
DHLXparcel_EXPPLUSSM_Parcel_Plus_Expedited192,Delete,,DHL,,Xparcel_EXPPLUS,SM_Parcel_Plus_Expedited,192,,,,,,,,,,,,,,
