Total Volume by transit for Xparcel volume,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Total Volume by carrier for use in populating each products volume,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,# of Weeks shipped for volume datasets,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Average Weekly shipcount and revenue for summary chart,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Average Weekly Revenue for determining Discount,Unnamed: 46,Unnamed: 47,Mapping of product to Summary,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Xparcel Volume,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Expedited,Expedited1,Expedited2,Expedited3,Expedited4,Expedited5,Expedited6,Expedited7,Expedited8,Unnamed: 68,Unnamed: 69,Ground,Ground1,Ground2,Ground3,Ground4,Ground5,Ground6,Ground7,Ground8,Unnamed: 79,Unnamed: 80,Priority,Priority1,Priority2,Priority3,Priority4,Priority5,Priority6,Priority7,Priority8,Unnamed: 90,Unnamed: 91,Exp Plus,Exp Plus1,Exp Plus2,Exp Plus3,Exp Plus4,Exp Plus5,Exp Plus6,Exp Plus7,Exp Plus8
PK,Customer Id,quickbooks_alias,Transit,oz,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,,PK,Customer Id,quickbooks_alias,Xparcel Type,Type,standard_bill_weight_oz,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,,fm_cust,customer_quickbooks_alias,Weeks Shipped,Shipcount,,Other product mapping,PK,Cust_ID,quickbooks_alias,Reporting Alias,Label Type,Volume,TotalBilled,# of Weeks,Volume per Week,,quickbooks_alias,Weekley Rev,,carrier,Material_or_VAS_Desc,Sum of Shipcount,,,Cust_ID,quickbooks_alias,QB Alias Count,Cust ID Count,,,,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,,,,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,,,,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,,,,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
0Expedited15.99,0,ShipNetwork (Customer),Expedited,15.99,,,1.0,,,,,,,0ExpeditedONTRAC15.99,0,ShipNetwork (Customer),Expedited,ONTRAC,15.99,,,1.0,,,,,,,20531,Active Figure,1,2,,20531Expedited,20531DHL-XExpedited,20531,Active Figure,DHL-X,Expedited,2,7.69,1,2,,Quick Box Fulfillment,705541,,DHL,Delivery_Conf._Dom,35,DHL-INTL,,20550,Elite Marketing LLC,92851,2545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0Expedited32,0,ShipNetwork (Customer),Expedited,32,,1.0,,1.0,,,,,,0ExpeditedONTRAC32,0,ShipNetwork (Customer),Expedited,ONTRAC,32,,1.0,,1.0,,,,,,20550,Elite Marketing (Customer),41,20718,,20550Expedited,20550ACI-WSExpedited,20550,Elite Marketing (Customer),ACI-WS,Expedited,117,755.52,12,9.75,,ShipNetwork (Customer),536825,,DHL,DHL_GlobalMail_Packet_IPA,880,DHL-INTL,,20574,Peyteybug,2387,2387,,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0Expedited80,0,ShipNetwork (Customer),Expedited,80,,,,1.0,,,,,,0ExpeditedONTRAC80,0,ShipNetwork (Customer),Expedited,ONTRAC,80,,,,1.0,,,,,,20574,Peyteybug,38,3137,,20550Expedited,20550ACI-WSExpedited,20550,Elite Marketing (Customer),ACI-WS,Expedited,233,1085.53,12,19.4167,,NuLifestyle Marketing LLC,150000,,DHL,DHL_GlobalMail_Packet_ISAL,1043,DHL-INTL,,20615,Live Your Truth,2100,2100,,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0Expedited192,0,ShipNetwork (Customer),Expedited,192,,,,1.0,2.0,,,,,0ExpeditedONTRAC192,0,ShipNetwork (Customer),Expedited,ONTRAC,192,,,,1.0,2.0,,,,,20575,The 2 Family,1,2,,20550Expedited,20550ACI-WSExpedited,20550,Elite Marketing (Customer),ACI-WS,Expedited,162,978.73,21,7.7143,,NovaShip,100000,,DHL,DHL_GlobalMail_Packet_Plus,545071,DHL-INTL,,20617,Mothers Lounge,22233,13170,,3.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0error - Label type not mapped64,0,ShipNetwork (Customer),error - Label type not mapped,64,,1.0,,,,,,,,0error - Label type not mappedONTRAC64,0,ShipNetwork (Customer),error - Label type not mapped,ONTRAC,64,,1.0,,,,,,,,20594,Test2,11,4600,,20550Direct Call,20550DHL-GMDirect Call,20550,Elite Marketing (Customer),DHL-GM,Direct Call,54,853.34,2,27,,Fulfillment Ninjas,100000,,DHL,DHL_GlobalMail_Packet_Priority,98768,DHL-INTL,,20618,eSupplements LLC,53,53,,4.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,4.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,4.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,4.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20550Expedited1,20550,Elite Marketing (Customer),Expedited,1,,,1.0,2.0,5.0,5.0,8.0,12.0,,20550ExpeditedACI-WS15.99,20550,Elite Marketing (Customer),Expedited,ACI-WS,15.99,,,,5.0,3.0,,,,,20598,Test1,22,3518,,20550Direct Call,20550DHL-GMDirect Call,20550,Elite Marketing (Customer),DHL-GM,Direct Call,3135,42432.34,12,261.25,,Mainmerch,90000,,DHL,DHL_GlobalMail_Packet_Standard,17140,DHL-INTL,,20653,Mirion Technologies,815,815,,5.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,5.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,5.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,5.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20550Expedited2,20550,Elite Marketing (Customer),Expedited,2,,,1.0,3.0,7.0,,2.0,4.0,,20550ExpeditedACI-WS32,20550,Elite Marketing (Customer),Expedited,ACI-WS,32,,,,5.0,10.0,,,,,20615,Live Your Truth,41,14946,,20550Direct Call,20550DHL-GMDirect Call,20550,Elite Marketing (Customer),DHL-GM,Direct Call,103,1137.83,2,51.5,,Mothers Lounge,80000,,DHL,DHL_Parcel_International_Direc,51514,DHL-INTL,,20717,LDS Bookstore,3417,3417,,6.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,6.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,6.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,6.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20550Expedited4,20550,Elite Marketing (Customer),Expedited,4,,,1.0,,4.0,3.0,6.0,4.0,,20550ExpeditedACI-WS80,20550,Elite Marketing (Customer),Expedited,ACI-WS,80,,,,1.0,3.0,,,,,20617,Mothers Lounge,42,86961,,20550Direct Call,20550DHL-GMDirect Call,20550,Elite Marketing (Customer),DHL-GM,Direct Call,1251,19852.51,25,50.04,,Posh Peanut Inc,57876,,DHL,DHL_Parcel_International_Exped,559,DHL-INTL,,20725,BETTER HOME INTERIORS,2555,2555,,7.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,7.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,7.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,7.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20550Expedited5,20550,Elite Marketing (Customer),Expedited,5,,,5.0,18.0,47.0,31.0,59.0,68.0,,20550ExpeditedACI-WS64,20550,Elite Marketing (Customer),Expedited,ACI-WS,64,,,,,7.0,,,,,20618,eSupplements LLC,6,49,,20550Direct Call,20550DHL-XDirect Call,20550,Elite Marketing (Customer),DHL-X,Direct Call,1663,10391.78,9,184.7778,,LOLA,47603,,DHL,DHL_Parcel_International_Stand,42778,DHL-INTL,,20743,Shark Robot LLC,20230,20230,,8.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,8.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,8.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,8.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
